Município,Código,Demonym ,Prefeito [2017],Area - km^2 [2019],Population Estimate -  [2020],Densidade – hab/km^2 [2010],Schooling (6 to 14 years old) - % [2010],MHDI (Municipal human development index) [2010],Mortalidade Infantil - deaths per 1000 live births [2013],Realized revenue - R$ (*1000) [2017],Committed expenditure - R$ (*1000) [2017],GDP Per Capita - R$ (*1000) [2017]
Abadia dos Dourados,3100104,abadiense,WANDERLEI LEMES SANTOS,881.064,7006,7.61,98.3,0.689,16.95,21894.89576,18793.52389,21953.45
Abaeté,3100203,abaetense,ARMANDO GRECO FILHO,1817.067,23250,12.49,99.8,0.698,12.3,45220.32463,40774.21946,18044.21
Abre Campo,3100302,abre-campense,MÁRCIO MOREIRA VICTOR,470.551,13444,28.29,97.4,0.654,27.03,32100.1209,29577.56666,13453.99
Acaiaca,3100401,acaiaquense,LUIZ CARLOS FAUSTINO,101.886,3994,38.47,96,0.63,42.55,14072.55633,12445.28291,9535.73
Açucena,3100500,açucenense,DARCIRA DE SOUZA PEREIRA,815.422,9368,12.6,96.7,0.61,26.09,19477.67359,19513.35699,9702.71
Água Boa,3100609,água-boense,LAERTH VIEIRA FILHO,1320.344,13523,11.51,92.9,0.576,15.79,29538.64432,27745.67559,8929.52
Água Comprida,3100708,água-compridense,GUSTAVO DE ALMEIDA GONÇALVES,492.167,1992,4.11,95.2,0.675,125,18442.25605,16122.10615,64364.49
Aguanil,3100807,aguanilense,SEBASTIÃO ELOI DE SOUZA CAMPOS,232.091,4522,17.47,97.4,0.663,68.18,15931.8311,14013.41004,13473.49
Águas Formosas,3100906,águas-formosense,ALFEU OLIVEIRA AMADOR FILHO,820.079,19247,22.53,96.6,0.645,19.69,45324.03903,40811.21189,11695.98
Águas Vermelhas,3101003,águas-vermelhense,VALDECY JOSE DE SOUZA,1256.607,13599,10.1,93.3,0.601,18.18,27494.40686,25905.67987,16270.76
Aimorés,3101102,aimorense,MARCELO MARQUES,1348.913,25141,18.5,96.5,0.684,16.18,63055.28218,56293.50681,16877.78
Aiuruoca,3101201,aiuruocano,PAULO ROBERTO SENADOR,649.68,5976,9.48,99.3,0.668,22.73,17722.73165,15580.4714,14454.94
Alagoa,3101300,alagoense,JULIANO DINIZ DE OLIVEIRA,161.356,2665,16.79,99,0.649,111.11,15332.40286,13926.43236,12889.85
Albertina,3101409,albertinense,JOÃO PAULO FACANALI DE OLIVEIRA,58.01,3011,50.22,98.4,0.673,111.11,15060.64494,11821.97218,27796.71
Além Paraíba,3101508,além-paraibano,MIGUEL BELMIRO DE SOUZA JUNIOR,510.25,35401,67.3,97.6,0.726,19.66,84079.72686,69396.6373,25711.91
Alfenas,3101607,alfenense,LUIZ ANTONIO DA SILVA,850.446,80494,86.75,97.8,0.761,14.03,266276.67933,242021.97518,33422.98
Alfredo Vasconcelos,3101631,vasconcelense,JOSE VICENTE BARBOSA,130.815,6981,46.44,98,0.675,40.82,16476.30987,15425.85726,12423.03
Almenara,3101706,almenarense,ADEMIR COSTA GOBIRA,2294.426,42143,16.9,97.8,0.642,12.24,76557.45077,75200.48388,11873.07
Alpercata,3101805,alpercatense,VALMIR FARIA DA SILVA,166.972,7436,42.95,99.1,0.646,11.24,19160.77414,17768.52119,10483.45
Alpinópolis,3101904,alpinopolense,JOSÉ GABRIEL DOS SANTOS FILHO,460.685,19958,40.66,97,0.725,4.39,41935.67362,39224.14842,17764.06
Alterosa,3102001,alterosense,HERMES DE SOUZA SILVA,362.01,14517,37.89,97.7,0.668,5.38,32839.82289,29250.61564,15038.66
Alto Caparaó,3102050,alto caparoense,JOSÉ GOMES MONTEIRO,103.69,5894,51.08,98.5,0.661,13.7,17462.33578,13322.27155,12405.81
Alto Rio Doce,3102100,alto-rio-docense,WILSON TEIXEIRA GONÇALVES FILHO,518.053,10859,23.47,95.9,0.62,45.05,23033.23624,22048.62641,13862.48
Alvarenga,3102209,alvarenguense,DIOCELIO FERNANDO RIBEIRO,278.175,3844,15.98,96.9,0.592,38.46,15037.93322,13608.94818,9279.67
Alvinópolis,3102308,alvinopolense,JOÃO BATISTA MATEUS DE MORAES,599.443,15169,25.46,97.3,0.676,32.05,35767.76561,30473.15103,18013.82
Alvorada de Minas,3102407,alvoradense,VITOR HUGO FERREIRA DOS SANTOS,374.008,3605,9.48,94.6,0.572,50.85,22464.8569,18633.31791,11580.31
Amparo do Serra,3102506,serrense,ASTOLFO GOMES FUSCALDI,136.186,4678,34.63,98.6,0.641,16.67,14841.41913,13407.00528,9350.42
Andradas,3102605,andradense,RODRIGO APARECIDO LOPES,469.396,41396,79.4,96.7,0.734,11.83,96841.77636,81976.5091,21438.65
Cachoeira de Pajeú,3102704,cachoeirense,HUMBERTO TOLENTINO PEREIRA,695.672,9442,12.88,97.3,0.578,25.64,21171.47983,19712.58058,9263.24
Andrelândia,3102803,andrelandense,FRANCISCO CARLOS RIVELLI,1005.285,12206,12.11,98.2,0.7,9.01,29701.32649,26177.48661,17494.93
Angelândia,3102852,angelandense,JOÃO PAULO BATISTA DE SOUZA,185.211,8557,43.21,98.3,0.597,19.42,20470.82228,19137.1073,9097.14
Antônio Carlos,3102902,antônio-carlense,RAIMUNDO NONATO MARQUES,529.915,11459,20.97,98,0.683,23.08,23432.63671,21577.97754,12141.99
Antônio Dias,3103009,antônio-diense,BENEDITO DE ASSIS LIMA,787.061,9275,12.15,98.2,0.645,21.05,30181.49052,25519.47049,19653.2
Antônio Prado de Minas,3103108,pradense-de-minas,WELISON SIMA DA FONSECA,83.802,1587,19.94,99.1,0.684,222.22,11861.10736,10746.01602,13454.82
