date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-06-23,PR,Abatiá,city,967,15,True,7408,4100103,13053.45572,0.0155
2021-06-23,PR,Adrianópolis,city,1318,27,True,5857,4100202,22502.98788,0.0205
2021-06-23,PR,Agudos do Sul,city,617,24,True,9470,4100301,6515.31151,0.0389
2021-06-23,PR,Almirante Tamandaré,city,9522,353,True,120041,4100400,7932.2898,0.0371
2021-06-23,PR,Altamira do Paraná,city,212,10,True,1682,4100459,12604.04281,0.0472
2021-06-23,PR,Altônia,city,1118,21,True,22176,4100509,5041.48629,0.0188
2021-06-23,PR,Alto Paraíso,city,256,5,True,2685,4128625,9534.45065,0.0195
2021-06-23,PR,Alto Paraná,city,1029,24,True,14859,4100608,6925.0959,0.0233
2021-06-23,PR,Alto Piquiri,city,936,22,True,9778,4100707,9572.50972,0.0235
2021-06-23,PR,Alvorada do Sul,city,802,23,True,11503,4100806,6972.09424,0.0287
2021-06-23,PR,Amaporã,city,351,7,True,6332,4100905,5543.27227,0.0199
2021-06-23,PR,Ampére,city,1959,41,True,19311,4101002,10144.47724,0.0209
2021-06-23,PR,Anahy,city,349,9,True,2788,4101051,12517.934,0.0258
2021-06-23,PR,Andirá,city,2158,71,True,19926,4101101,10830.07126,0.0329
2021-06-23,PR,Ângulo,city,328,6,True,2930,4101150,11194.53925,0.0183
2021-06-23,PR,Antonina,city,2456,65,True,18949,4101200,12961.10613,0.0265
2021-06-23,PR,Antônio Olinto,city,472,11,True,7427,4101309,6355.19052,0.0233
2021-06-23,PR,Apucarana,city,9490,394,True,136234,4101408,6965.95564,0.0415
2021-06-23,PR,Arapongas,city,12841,472,True,124810,4101507,10288.43843,0.0368
2021-06-23,PR,Arapoti,city,2905,54,True,28300,4101606,10265.01767,0.0186
2021-06-23,PR,Arapuã,city,207,5,True,3009,4101655,6879.36191,0.0242
2021-06-23,PR,Araruna,city,1876,29,True,14000,4101705,13400.0,0.0155
2021-06-23,PR,Araucária,city,24758,388,True,146214,4101804,16932.71506,0.0157
2021-06-23,PR,Ariranha do Ivaí,city,175,3,True,2066,4101853,8470.47435,0.0171
2021-06-23,PR,Assaí,city,1313,42,True,14954,4101903,8780.25946,0.032
2021-06-23,PR,Assis Chateaubriand,city,4177,92,True,33340,4102000,12528.4943,0.022
2021-06-23,PR,Astorga,city,3062,73,True,26209,4102109,11683.00965,0.0238
2021-06-23,PR,Atalaia,city,428,18,True,3881,4102208,11028.08554,0.0421
2021-06-23,PR,Balsa Nova,city,1534,28,True,13092,4102307,11717.07913,0.0183
2021-06-23,PR,Bandeirantes,city,4665,117,True,31211,4102406,14946.65342,0.0251
2021-06-23,PR,Barbosa Ferraz,city,1160,31,True,11426,4102505,10152.28426,0.0267
2021-06-23,PR,Barracão,city,1265,34,True,10312,4102604,12267.26144,0.0269
2021-06-23,PR,Barra do Jacaré,city,231,2,True,2781,4102703,8306.36462,0.0087
2021-06-23,PR,Bela Vista da Caroba,city,176,6,True,3457,4102752,5091.11947,0.0341
2021-06-23,PR,Bela Vista do Paraíso,city,1855,60,True,15399,4102802,12046.23677,0.0323
2021-06-23,PR,Bituruna,city,1153,16,True,16400,4102901,7030.4878,0.0139
2021-06-23,PR,Boa Esperança,city,397,15,True,4047,4103008,9809.73561,0.0378
2021-06-23,PR,Boa Esperança do Iguaçu,city,159,0,True,2470,4103024,6437.24696,0.0
2021-06-23,PR,Boa Ventura de São Roque,city,447,5,True,6365,4103040,7022.78083,0.0112
2021-06-23,PR,Boa Vista da Aparecida,city,884,26,True,7540,4103057,11724.13793,0.0294
2021-06-23,PR,Bocaiúva do Sul,city,1803,15,True,13129,4103107,13732.95757,0.0083
2021-06-23,PR,Bom Jesus do Sul,city,462,5,True,3506,4103156,13177.41015,0.0108
2021-06-23,PR,Bom Sucesso,city,1048,16,True,7068,4103206,14827.39106,0.0153
2021-06-23,PR,Bom Sucesso do Sul,city,473,7,True,3254,4103222,14535.95575,0.0148
2021-06-23,PR,Borrazópolis,city,801,23,True,6439,4103305,12439.81985,0.0287
2021-06-23,PR,Braganey,city,456,7,True,5382,4103354,8472.68673,0.0154
2021-06-23,PR,Brasilândia do Sul,city,382,9,True,2585,4103370,14777.56286,0.0236
2021-06-23,PR,Cafeara,city,348,11,True,2954,4103404,11780.63643,0.0316
2021-06-23,PR,Cafelândia,city,2186,18,True,18456,4103453,11844.38665,0.0082
2021-06-23,PR,Cafezal do Sul,city,411,4,True,4009,4103479,10251.93315,0.0097
2021-06-23,PR,Califórnia,city,1191,28,True,8606,4103503,13839.18197,0.0235
2021-06-23,PR,Cambará,city,2632,48,True,25466,4103602,10335.34909,0.0182
2021-06-23,PR,Cambé,city,10557,232,True,107341,4103701,9835.01178,0.022
2021-06-23,PR,Cambira,city,927,23,True,7917,4103800,11708.98067,0.0248
2021-06-23,PR,Campina da Lagoa,city,1448,48,True,14043,4103909,10311.18707,0.0331
2021-06-23,PR,Campina do Simão,city,393,13,True,3859,4103958,10183.98549,0.0331
2021-06-23,PR,Campina Grande do Sul,city,5079,116,True,43685,4104006,11626.41639,0.0228
2021-06-23,PR,Campo Bonito,city,338,9,True,3763,4104055,8982.19506,0.0266
2021-06-23,PR,Campo do Tenente,city,363,16,True,8045,4104105,4512.11933,0.0441
2021-06-23,PR,Campo Largo,city,17470,406,True,133865,4104204,13050.46129,0.0232
2021-06-23,PR,Campo Magro,city,3100,71,True,29740,4104253,10423.67182,0.0229
2021-06-23,PR,Campo Mourão,city,12481,243,True,95488,4104303,13070.75235,0.0195
2021-06-23,PR,Cândido de Abreu,city,1050,13,True,14809,4104402,7090.28294,0.0124
2021-06-23,PR,Candói,city,1260,30,True,16053,4104428,7849.00019,0.0238
2021-06-23,PR,Cantagalo,city,1040,19,True,13329,4104451,7802.53582,0.0183
2021-06-23,PR,Capanema,city,2391,25,True,19148,4104501,12486.94381,0.0105
2021-06-23,PR,Capitão Leônidas Marques,city,1616,29,True,15834,4104600,10205.88607,0.0179
2021-06-23,PR,Carambeí,city,3342,62,True,23825,4104659,14027.28227,0.0186
2021-06-23,PR,Carlópolis,city,617,27,True,14356,4104709,4297.85456,0.0438
2021-06-23,PR,Cascavel,city,38595,790,True,332333,4104808,11613.35167,0.0205
2021-06-23,PR,Castro,city,10883,214,True,71809,4104907,15155.4819,0.0197
2021-06-23,PR,Catanduvas,city,894,21,True,10167,4105003,8793.15432,0.0235
2021-06-23,PR,Centenário do Sul,city,939,29,True,10764,4105102,8723.52285,0.0309
2021-06-23,PR,Cerro Azul,city,1306,43,True,17833,4105201,7323.50137,0.0329
2021-06-23,PR,Céu Azul,city,1373,23,True,11819,4105300,11616.88806,0.0168
2021-06-23,PR,Chopinzinho,city,2354,46,True,19167,4105409,12281.52554,0.0195
2021-06-23,PR,Cianorte,city,8090,147,True,83816,4105508,9652.09507,0.0182
2021-06-23,PR,Cidade Gaúcha,city,1828,25,True,12797,4105607,14284.59795,0.0137
2021-06-23,PR,Clevelândia,city,1892,77,True,16450,4105706,11501.51976,0.0407
2021-06-23,PR,Colombo,city,21892,620,True,246540,4105805,8879.69498,0.0283
2021-06-23,PR,Colorado,city,2406,50,True,24145,4105904,9964.79602,0.0208
2021-06-23,PR,Congonhinhas,city,946,26,True,8857,4106001,10680.81743,0.0275
2021-06-23,PR,Conselheiro Mairinck,city,677,13,True,3876,4106100,17466.46027,0.0192
2021-06-23,PR,Contenda,city,2120,38,True,18837,4106209,11254.44604,0.0179
2021-06-23,PR,Corbélia,city,2031,34,True,17117,4106308,11865.39697,0.0167
2021-06-23,PR,Cornélio Procópio,city,6648,133,True,47842,4106407,13895.74014,0.02
2021-06-23,PR,Coronel Domingos Soares,city,1227,18,True,7518,4106456,16320.83001,0.0147
