Município,Cód. IBGE,UF,Região,Fabricante,Doses Aplicadas,Dose 1,Dose 2
Abadia De Goiás,520005,GO,Centro-Oeste,BUTANTAN/SINOVAC,2557,1295,1262
Abadia De Goiás,520005,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,2077,1971,106
Abadia Dos Dourados,310010,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1642,1531,111
Abadia Dos Dourados,310010,MG,Sudeste,BUTANTAN/SINOVAC,1532,781,751
Abadia Dos Dourados,310010,MG,Sudeste,PFIZER/BIONTECH,107,107,0
Abadiânia,520010,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,5233,4991,242
Abadiânia,520010,GO,Centro-Oeste,BUTANTAN/SINOVAC,3300,1756,1544
Abadiânia,520010,GO,Centro-Oeste,PFIZER/BIONTECH,308,308,0
Abaeté,310020,MG,Sudeste,BUTANTAN/SINOVAC,5428,2752,2676
Abaeté,310020,MG,Sudeste,FIOCRUZ/ASTRAZENECA,5152,4623,529
Abaeté,310020,MG,Sudeste,PFIZER/BIONTECH,294,294,0
Abaetetuba,150010,PA,Norte,FIOCRUZ/ASTRAZENECA,42668,34760,7908
Abaetetuba,150010,PA,Norte,BUTANTAN/SINOVAC,16049,9173,6876
Abaiara,230010,CE,Nordeste,BUTANTAN/SINOVAC,979,769,210
Abaiara,230010,CE,Nordeste,FIOCRUZ/ASTRAZENECA,224,223,1
Abaíra,290010,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3910,3398,512
Abaíra,290010,BA,Nordeste,BUTANTAN/SINOVAC,2902,1469,1433
Abaíra,290010,BA,Nordeste,PFIZER/BIONTECH,100,100,0
Abaré,290020,BA,Nordeste,BUTANTAN/SINOVAC,4780,2424,2356
Abaré,290020,BA,Nordeste,FIOCRUZ/ASTRAZENECA,3581,3199,382
Abaré,290020,BA,Nordeste,PFIZER/BIONTECH,337,335,2
Abatiá,410010,PR,Sul,FIOCRUZ/ASTRAZENECA,2443,2329,114
Abatiá,410010,PR,Sul,BUTANTAN/SINOVAC,1936,991,945
Abdon Batista,420005,SC,Sul,FIOCRUZ/ASTRAZENECA,950,806,144
Abdon Batista,420005,SC,Sul,BUTANTAN/SINOVAC,771,393,378
Abdon Batista,420005,SC,Sul,PFIZER/BIONTECH,148,148,0
Abel Figueiredo,150013,PA,Norte,FIOCRUZ/ASTRAZENECA,1219,1137,82
Abel Figueiredo,150013,PA,Norte,BUTANTAN/SINOVAC,383,197,186
Abelardo Luz,420010,SC,Sul,FIOCRUZ/ASTRAZENECA,3459,3191,268
Abelardo Luz,420010,SC,Sul,BUTANTAN/SINOVAC,3005,1596,1409
Abelardo Luz,420010,SC,Sul,PFIZER/BIONTECH,171,171,0
Abre Campo,310030,MG,Sudeste,FIOCRUZ/ASTRAZENECA,3050,2689,361
Abre Campo,310030,MG,Sudeste,BUTANTAN/SINOVAC,2874,1449,1425
Abre Campo,310030,MG,Sudeste,PFIZER/BIONTECH,318,318,0
Abreu E Lima,260005,PE,Nordeste,BUTANTAN/SINOVAC,14611,7640,6971
Abreu E Lima,260005,PE,Nordeste,FIOCRUZ/ASTRAZENECA,9064,8213,851
Abreu E Lima,260005,PE,Nordeste,PFIZER/BIONTECH,151,151,0
Abreulândia,170025,TO,Norte,FIOCRUZ/ASTRAZENECA,640,614,26
Abreulândia,170025,TO,Norte,BUTANTAN/SINOVAC,462,254,208
Acaiaca,310040,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1176,1108,68
Acaiaca,310040,MG,Sudeste,BUTANTAN/SINOVAC,1038,532,506
Acaiaca,310040,MG,Sudeste,PFIZER/BIONTECH,28,28,0
Açailândia,210005,MA,Nordeste,FIOCRUZ/ASTRAZENECA,22850,22005,845
Açailândia,210005,MA,Nordeste,BUTANTAN/SINOVAC,11453,6164,5289
Açailândia,210005,MA,Nordeste,PFIZER/BIONTECH,265,265,0
Acajutiba,290030,BA,Nordeste,BUTANTAN/SINOVAC,1167,501,666
Acajutiba,290030,BA,Nordeste,FIOCRUZ/ASTRAZENECA,975,839,136
Acajutiba,290030,BA,Nordeste,PFIZER/BIONTECH,22,22,0
Acará,150020,PA,Norte,FIOCRUZ/ASTRAZENECA,5121,4850,271
Acará,150020,PA,Norte,BUTANTAN/SINOVAC,4547,3088,1459
Acarape,230015,CE,Nordeste,BUTANTAN/SINOVAC,2222,1194,1028
Acarape,230015,CE,Nordeste,FIOCRUZ/ASTRAZENECA,492,280,212
Acaraú,230020,CE,Nordeste,BUTANTAN/SINOVAC,8112,4206,3906
Acaraú,230020,CE,Nordeste,FIOCRUZ/ASTRAZENECA,1521,999,522
Acaraú,230020,CE,Nordeste,PFIZER/BIONTECH,1,1,0
Acari,240010,RN,Nordeste,BUTANTAN/SINOVAC,2483,1270,1213
Acari,240010,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1807,1694,113
Acari,240010,RN,Nordeste,PFIZER/BIONTECH,182,182,0
Acauã,220005,PI,Nordeste,FIOCRUZ/ASTRAZENECA,1626,1420,206
Acauã,220005,PI,Nordeste,BUTANTAN/SINOVAC,1029,538,491
Acauã,220005,PI,Nordeste,PFIZER/BIONTECH,19,19,0
Aceguá,430003,RS,Sul,FIOCRUZ/ASTRAZENECA,1637,1494,143
Aceguá,430003,RS,Sul,BUTANTAN/SINOVAC,1346,647,699
Aceguá,430003,RS,Sul,PFIZER/BIONTECH,243,243,0
Acopiara,230030,CE,Nordeste,BUTANTAN/SINOVAC,8015,4267,3748
Acopiara,230030,CE,Nordeste,FIOCRUZ/ASTRAZENECA,2972,2480,492
Acorizal,510010,MT,Centro-Oeste,BUTANTAN/SINOVAC,1308,660,648
Acorizal,510010,MT,Centro-Oeste,FIOCRUZ/ASTRAZENECA,1254,1196,58
Acrelândia,120001,AC,Norte,FIOCRUZ/ASTRAZENECA,3163,2955,208
Acrelândia,120001,AC,Norte,BUTANTAN/SINOVAC,1213,636,577
Acrelândia,120001,AC,Norte,PFIZER/BIONTECH,161,161,0
Acreúna,520013,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,4839,4589,250
Acreúna,520013,GO,Centro-Oeste,BUTANTAN/SINOVAC,3524,1872,1652
Acreúna,520013,GO,Centro-Oeste,PFIZER/BIONTECH,37,37,0
Açu,240020,RN,Nordeste,FIOCRUZ/ASTRAZENECA,10930,10040,890
Açu,240020,RN,Nordeste,BUTANTAN/SINOVAC,8614,4516,4098
Açu,240020,RN,Nordeste,PFIZER/BIONTECH,1675,1669,6
Açucena,310050,MG,Sudeste,BUTANTAN/SINOVAC,2096,1130,966
Açucena,310050,MG,Sudeste,FIOCRUZ/ASTRAZENECA,1986,1817,169
Açucena,310050,MG,Sudeste,PFIZER/BIONTECH,157,157,0
Adamantina,350010,SP,Sudeste,BUTANTAN/SINOVAC,10662,5742,4920
Adamantina,350010,SP,Sudeste,FIOCRUZ/ASTRAZENECA,8893,8148,745
Adamantina,350010,SP,Sudeste,PFIZER/BIONTECH,423,423,0
Adelândia,520015,GO,Centro-Oeste,FIOCRUZ/ASTRAZENECA,596,561,35
Adelândia,520015,GO,Centro-Oeste,BUTANTAN/SINOVAC,467,257,210
Adolfo,350020,SP,Sudeste,BUTANTAN/SINOVAC,1335,780,555
Adolfo,350020,SP,Sudeste,FIOCRUZ/ASTRAZENECA,1097,989,108
Adolfo,350020,SP,Sudeste,PFIZER/BIONTECH,79,79,0
Adrianópolis,410020,PR,Sul,FIOCRUZ/ASTRAZENECA,1861,1778,83
Adrianópolis,410020,PR,Sul,BUTANTAN/SINOVAC,1571,818,753
Adustina,290035,BA,Nordeste,FIOCRUZ/ASTRAZENECA,4701,4205,496
Adustina,290035,BA,Nordeste,BUTANTAN/SINOVAC,3096,1606,1490
Adustina,290035,BA,Nordeste,PFIZER/BIONTECH,171,171,0
Afogados Da Ingazeira,260010,PE,Nordeste,BUTANTAN/SINOVAC,8777,4865,3912
Afogados Da Ingazeira,260010,PE,Nordeste,FIOCRUZ/ASTRAZENECA,6938,6378,560
Afogados Da Ingazeira,260010,PE,Nordeste,PFIZER/BIONTECH,770,768,2
Afonso Bezerra,240030,RN,Nordeste,FIOCRUZ/ASTRAZENECA,1578,1526,52
Afonso Bezerra,240030,RN,Nordeste,BUTANTAN/SINOVAC,1416,722,694
Afonso Bezerra,240030,RN,Nordeste,PFIZER/BIONTECH,79,79,0
Afonso Cláudio,320010,ES,Sudeste,BUTANTAN/SINOVAC,9014,4921,4093
Afonso Cláudio,320010,ES,Sudeste,FIOCRUZ/ASTRAZENECA,7725,7395,330
